ASV.ID,Domain,Phylum,Class,Order,Family,Genus,Species
7dbde05233f5c6b3dc9d75b116d1d5d8,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
a4ef3e3c061b1c394be05326ab06a7e3,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,Ileibacterium_valens
aa1d63738afd898a87df59f77c2dfbef,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,uncultured_bacterium
1fae2aa00b10c6cf006ba8df63eae7a8,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,NA
4e6195b29c0bff6e41f2eb2c704fb7f1,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,Ileibacterium_valens
d7af15ffc5bd452ec6eb50e484925932,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,Ileibacterium_valens
94e1e3b647e60bc38a21962229c520e2,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
69fcda339cc16c7089a0741e551caf8a,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,uncultured_bacterium
765ab28d3288fac3ae9eb83b05194336,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,uncultured_bacterium
a848628b6b82c0f2117e7b0f2673a2d1,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,Ileibacterium_valens
118893ac1962334ecea4f4bdc0845a53,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,NA
d3c2b1c15d26e5fdcab77b372a987628,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_kroppenstedtii
7388935789928b288e4cc068d0d8db10,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
84c8630cc32aadbbef61a6862b938082,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
514c6ea1c67d7f0116b5572e496c77f2,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,uncultured_bacterium
45a8264ff38c5c2c3fee4183c060e826,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,Ileibacterium_valens
edc1dfcd54e37069be79c20ae7bfd68f,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,unidentified
cdb3e06214165b6759898e86b2b4048c,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
9084f53777d06c011016507de68434d5,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
a251ae02db5ed074ffc3acb72d5fbe33,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,NA
417255c83f60ca3c505721140f42daeb,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
1c142238294d85cc1c2c306fa8998722,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,Dorea_sp.
b5b182e90461b2e80f4e2b783b5056b5,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,Ileibacterium_valens
49123cc09a75dbca5dbedb50e27a54f0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
cf2eea2a38138614b3121fc8cfae6b3a,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,NA
9bb276530d60c2d320b7fd8bc8cf8613,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
173c825a18291f2ba18b5e46d9db8408,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides_distasonis
2dbfa25a487528f083e32e2ee0583f3f,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,uncultured_bacterium
d3d1cb1294f2ed4a45d83e3a5279f526,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
996d07de876b398fded308eb7efa7adf,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,Ileibacterium_valens
4cb03040650bb7f7ac48ffd529de387a,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium_multivorum
e8062420e6fdc4ff29442be4329825b7,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,NA,NA
7dec994d9bd5e7dbe9076bd0ca0628ec,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Arachis_hypogaea
b7b4df2847d725a2dbf215aae62ccd4f,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA
c0d5dcb7d80d5dae81f286d953193674,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured,Azospirillum_sp.
ffc775a66454512c5a7e80ae38e11a85,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA
fbe7ee761b2714f1cff7fcdc086b6318,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
6353b0fde20ba4051a6394adf7122b4e,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,Ileibacterium_valens
3f0af64c78de765f18907308a4754696,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,NA
65023a5dd9b42df8781f677f09a9eae9,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
e3d74e086e7743f2d0016a07663a077f,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
2d34b534cad403ed40fcb5f654dce729,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA
246ddda2483d92cd810ebd7f18bf4b76,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
8f9253ced9bcd6e2556c980be4428a65,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
4cd9f82704e3daa8153390a5a95aa4c9,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
2772f1620e6862e6c0b7e551bec5a989,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
36beb4ee88e98bd3f1ee723294dd6cec,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
ea23be24ee90e640b0f9262aa8816ca5,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,NA
a0d0ab44ebc2bf304de1c9f872633e3a,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
075be2296aca49bd408d08fcc01e9c1c,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,uncultured_bacterium
efb336b4e19c660d99dd1c29aee3f0a9,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae,uncultured_bacterium
2f7075b524c67ac610828224113d238b,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
2cf5a2542d7b1400bdfa6de214f6aaad,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
574f797999a81e501dc1824a7fe08e31,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,NA
f1860fe716257bd5fd5c4c6a16cf3b95,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,NA
34254e9b6811c1535806a8acb6e5dce1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,NA
f517469e93271c71f352836473d038be,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
1b5df9460fed5e593d5815d08bf8196a,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,NA
a91703f5dd13c9925fe7362dcb7706f3,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,NA
