"","OTUID","Occ.bio.nc.unfil","Domain","Phyllum","Class","Order","Family","Genus","Species","Family.ed","Genus.ed"
"292","KM659185.1.1456",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","Pseudomonadaceae","Pseudomonas"
"300","KR051037.1.1397",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,"Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"301","KR081268.1.1454",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,"Rhizobiaceae","f_Rhizobiaceae"
"303","KR088385.1.1564",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus",NA,"Nocardiaceae","Rhodococcus"
"304","KR088716.1.1442",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Marinococcus",NA,"Bacillaceae","Marinococcus"
"307","KT003266.1.1254",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"308","KT308483.1.1462",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","uncultured",NA,"Beijerinckiaceae","f_Beijerinckiaceae"
"309","KT350432.1.1533",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Noviherbaspirillum",NA,"Burkholderiaceae","Noviherbaspirillum"
"311","KT971019.1.1475",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","Nakamurellaceae","Nakamurella",NA,"Nakamurellaceae","Nakamurella"
"314","KU352747.1.1311",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium","Methylobacterium salsuginis","Beijerinckiaceae","Methylobacterium"
"318","KU726283.1.1457",0.0140845070422535,"Bacteria","Cyanobacteria","Melainabacteria","Obscuribacterales","uncultured bacterium","uncultured bacterium","uncultured bacterium","Cyanobacteria","Cyanobacteria"
"323","KX589533.1.1464",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","uncultured","uncultured bacterium","Rhizobiales Incertae Sedis","Rhizobiales Incertae Sedis"
"324","KX603599.1.1394",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,"Lactobacillaceae","Lactobacillus"
"325","KX938022.1.1498",0.0140845070422535,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured marine eukaryote","uncultured marine eukaryote","uncultured marine eukaryote","Chloroplast","Chloroplast"
"326","KY003165.1.1540",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Quadrisphaera","uncultured bacterium","Kineosporiaceae","Quadrisphaera"
"328","KY077153.1.1349",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacteriaceae","Flavobacterium"
"330","KY445705.1.1510",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sp.","Mycobacteriaceae","Mycobacterium"
"331","KY611900.1.1553",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Okibacterium",NA,"Microbacteriaceae","Okibacterium"
"337","KY908437.1.1285",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomycetaceae","Streptomyces"
"338","KY992614.1.1498",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter","uncultured bacterium","Rhodanobacteraceae","Rhodanobacter"
"341","LJOS01000104.3211.4728",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacteriaceae","Flavobacterium"
"346","LNQS01000004.142.1676",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Rheinheimera",NA,"Alteromonadaceae","Rheinheimera"
"348","LSJY01000164.4318.5798",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA,"Sphingomonadaceae","Sphingobium"
"352","LXTQ01000003.3712.5257",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae",NA,NA,"Methylophilaceae","f_Methylophilaceae"
"355","U92194.1.1550",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Enterobacteriaceae","Escherichia-Shigella"
"356","X92159.1.1489",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"10","AB637092.1.1524",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA,"Bacillaceae","f_Bacillaceae"
"21","AHHC01000023.100357.101878",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","uncultured bacterium","Pseudomonadaceae","Pseudomonas"
"22","AJ272200.1.1497",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcaceae","Enterococcus"
"37","AY538683.1.1513",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcaceae","Staphylococcus"
"39","AY773954.1.1486",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus casei","Lactobacillaceae","Lactobacillus"
"65","CP019619.2704848.2706441",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes","Listeriaceae","Listeria"
"66","CP019619.274057.275664",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes","Listeriaceae","Listeria"
"95","EU511062.1.1407",0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","uncultured","uncultured bacterium","Lachnospiraceae","uncultured"
"96","EU560783.1.1502",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Enterobacteriaceae","Escherichia-Shigella"
"97","EU560820.1.1485",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Enterobacteriaceae","Escherichia-Shigella"
"101","EU771783.1.1399",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Enterobacteriaceae","Escherichia-Shigella"
"102","EU778456.1.1401",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Enterobacteriaceae","Escherichia-Shigella"
"103","EU778460.1.1405",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Enterobacteriaceae","Escherichia-Shigella"
"118","FJ753768.1.1442",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcaceae","Enterococcus"
"122","FJ957714.1.1490",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","uncultured bacterium","Bacillaceae","Bacillus"
"123","FJ975995.1.1358",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,"Lactobacillaceae","Lactobacillus"
"127","FNFY01000063.42.1594",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Salinicoccus",NA,"Staphylococcaceae","Salinicoccus"
"142","FPLN01009530.8.1528",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"185","GQ358877.1.1520",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcaceae","Enterococcus"
"196","GU553044.1.1341",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Enterobacteriaceae","Escherichia-Shigella"
"199","HAFQ01034880.73.1513",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"201","HE962120.1.1400",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","Enterococcaceae","Enterococcus"
"206","HK555525.1.1552",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anaerobacillus",NA,"Bacillaceae","Anaerobacillus"
"209","HM159971.1.1501",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Comamonas","uncultured Comamonas sp.","Burkholderiaceae","Comamonas"
"221","HQ752078.1.1452",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","uncultured Staphylococcus sp.","Staphylococcaceae","Staphylococcus"
"222","JF189310.1.1369",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","uncultured bacterium","Streptococcaceae","Streptococcus"
"223","JF196556.1.1372",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","uncultured bacterium","Staphylococcaceae","Staphylococcus"
"232","JN628990.1.1569",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","Enterococcaceae","Enterococcus"
"236","JN866823.1.1445",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter","Citrobacter freundii","Enterobacteriaceae","Citrobacter"
"252","JX240772.1.1512",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"256","KC011147.1.1494",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Enterobacteriaceae","Escherichia-Shigella"
"258","KC202800.1.1427",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus durans","Enterococcaceae","Enterococcus"
"259","KC333895.1.1233",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","Enterococcaceae","Enterococcus"
"268","KC683892.1.1440",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis","Bacillaceae","Bacillus"
"271","KF098385.1.1371",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","uncultured bacterium","Staphylococcaceae","Staphylococcus"
"272","KF100270.1.1376",0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fastidiosipila","uncultured bacterium","Ruminococcaceae","Fastidiosipila"
"273","KF105341.1.1391",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","uncultured bacterium","Lactobacillaceae","Lactobacillus"
"287","KJ848552.1.1469",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hominis subsp. hominis","Staphylococcaceae","Staphylococcus"
"291","KM391945.1.1431",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Enterobacteriaceae","Escherichia-Shigella"
"293","KM819156.1.1538",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus fermentum","Lactobacillaceae","Lactobacillus"
"294","KM819157.1.1526",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","uncultured Bacillus sp.","Lactobacillaceae","Lactobacillus"
"298","KP975341.1.1504",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Enterobacteriaceae","Escherichia-Shigella"
"305","KR611043.1.1553",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"310","KT957300.1.1480",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hominis subsp. hominis","Staphylococcaceae","Staphylococcus"
"315","KU366365.1.1545",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus fermentum","Lactobacillaceae","Lactobacillus"
"316","KU588051.1.1264",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"319","KU978243.1.1517",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"327","KY038861.1.1462",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA,"Enterobacteriaceae","Pantoea"
"329","KY285265.1.1439",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"333","KY660627.1.1449",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Enterobacteriaceae","Escherichia-Shigella"
"344","LN833518.1.1522",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured Escherichia sp.","Enterobacteriaceae","Escherichia-Shigella"
"347","LQXD01000001.79025.80958",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anaerobacillus",NA,"Bacillaceae","Anaerobacillus"
"349","LT545682.1.1550",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","Pseudomonadaceae","Pseudomonas"
