"","OTUID","Occ.bio.nc.unfil","Domain","Phylum","Class","Order","Family","Genus","Species","Genus.ed","Family.ed"
"115","FN436071.1.1449",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella",NA,"Shinella","Rhizobiaceae"
"128","FPLL01008779.14.1515",0.028169014084507,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","uncultured",NA,"f_Sphingobacteriaceae","Sphingobacteriaceae"
"146","FPLS01042637.11.1526",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Curvibacter",NA,"Curvibacter","Burkholderiaceae"
"174","GQ853416.1.1513",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA,"Pantoea","Enterobacteriaceae"
"188","HK557027.1.1450",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,"Sphingomonas","Sphingomonadaceae"
"196","HQ121087.1.1522",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"f_Burkholderiaceae","Burkholderiaceae"
"202","HQ218547.1.1480",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia","uncultured bacterium","Kaistia","Kaistiaceae"
"217","JN178192.1.1482",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","uncultured bacterium","Hyphomicrobium","Hyphomicrobiaceae"
"244","KC682939.1.1482",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA,"Novosphingobium","Sphingomonadaceae"
"245","KC683027.1.1557",0.028169014084507,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Trichococcus","Trichococcus collinsii","Trichococcus","Carnobacteriaceae"
"248","KC858869.1.1562",0.028169014084507,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"249","KF026285.1.1556",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae"
"273","KP232906.1.1565",0.028169014084507,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"287","KX146486.1.1489",0.028169014084507,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Arachidicoccus",NA,"Arachidicoccus","Chitinophagaceae"
"294","KY777444.1.1555",0.028169014084507,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
